id,sex,s_maths,s_read,e_behav1,e_behav2,e_behav3,e_maths,e_read,FSM,IDACI,start_vocab_total,School,Class,Age_at_start,Age_at_end,Classification,count,countFSM,percentageFSM,GrowthRate
21332,0,15,14,0,0,0,7,49,0,3534,9,514,1287,4.8,5.54,1,36,7,0.29,0.999910864785405
1588,1,19,12,0,0,0,9,6,1,14485,1,43,1207,5,5.75,1,61,12,0.49,0.99991261032141
9831,1,24,44,0,0,0,12,20,0,9746,18,209,716,4.69,5.43,1,42,0,0.42,0.999918933440392
70188,0,8,12,5,6,2,4,22,0,5906,9,1954,68,4.79,5.62,1,34,3,0.31,0.999918933440392
55288,0,45,48,0,0,0,24,150,0,23138,18,1420,1400,4.76,5.45,1,7,0,0.07,0.999926481222004
64136,0,29,26,0,0,0,16,20,0,30883,16,1727,1041,4.15,4.93,1,39,2,0.37,0.999930446032118
16596,0,9,21,0,0,0,5,24,1,725,16,385,369,4.81,4.89,1,51,17,0.34,0.999931255384668
12839,1,16,22,0,0,0,9,55,0,2373,13,278,134,4.84,5.51,1,52,12,0.4,0.999932708212158
33245,1,7,21,0,0,0,4,20,1,527,17,834,744,4.73,5.46,1,14,4,0.1,0.999934550003005
28923,1,27,40,0,0,0,16,174,0,27487,19,703,194,4.33,4.99,1,23,1,0.22,0.999938803259291
71074,1,27,33,0,0,0,16,20,1,7084,15,1978,661,4.53,4.96,1,10,4,0.06,0.999938803259291
36942,0,13,26,6,0,0,8,33,0,14829,20,929,1049,4.72,4.89,1,77,8,0.69,0.999943217072354
5196,0,8,13,0,0,0,5,25,1,3750,7,110,1282,4.78,5.45,1,36,10,0.26,0.999945030326181
8868,1,25,28,0,0,0,16,26,0,6476,20,187,1027,4.41,5.17,1,5,1,0.04,0.999947804040312
44842,1,25,32,0,0,0,16,33,0,29090,21,1148,1126,4.9,5.68,1,12,0,0.12,0.999947804040312
4889,0,14,21,0,0,0,9,23,0,1106,13,104,1049,4.62,5.28,1,18,7,0.11,0.999948324989903
26121,1,3,4,0,0,0,2,7,0,6694,1,631,973,4.36,5.11,1,30,3,0.27,0.999952578304782
